item_code,region,segment,format,sales_total,sales_mean,units_total,units_mean,price_mean,var_pct_mean,high_value_ratio,high_turnover_ratio,n_weeks,cluster,cluster_nombre
7501058716453,Area 4,Liquid & Gel,Liquido,19.688,0.78752,0.301,0.01204,59.045199999999994,-99.464,0.88,0.08,25,0,Presencia Marginal
7501058716453,Area 5,Liquid & Gel,Liquido,51.316,1.603625,0.771,0.02409375,67.96,-99.26875,1.0,0.28125,32,0,Presencia Marginal
7501058716453,Area 6,Liquid & Gel,Liquido,72.615,2.135735294117647,1.105,0.0325,61.088529411764696,-98.87647058823529,0.9117647058823529,0.20588235294117646,34,0,Presencia Marginal
7501058716477,Area 2,Liquid & Gel,Liquido,767.264,9.5908,27.381,0.3422625,28.503125,-95.5275,0.0,1.0,80,1,Volumen Diversificado
7501058716477,Area 4,Liquid & Gel,Liquido,16.195,0.22809859154929576,0.62,0.008732394366197183,26.18,-99.78,0.0,0.6056338028169014,71,1,Volumen Diversificado
7501058716477,Area 6,Liquid & Gel,Liquido,21.319,0.2698607594936709,0.606,0.007670886075949367,36.447848101265826,-99.70164556962025,0.6708860759493671,0.20253164556962025,79,2,Nicho Premium
7501058716767,Area 1,Liquid & Gel,Gel,4516.191,59.423565789473685,30.659,0.4034078947368421,148.8392105263158,-90.77697368421053,1.0,0.8947368421052632,76,2,Nicho Premium
7501058716767,Area 2,Liquid & Gel,Gel,6051.695,79.62756578947368,40.309,0.5303815789473684,151.83486842105265,-84.16447368421052,1.0,0.3815789473684211,76,2,Nicho Premium
7501058716767,Area 3,Liquid & Gel,Gel,15314.825,201.5108552631579,100.473,1.3220131578947367,153.52631578947367,-79.54236842105263,1.0,0.9736842105263158,76,3,Motor de Ingresos
7501058716767,Area 4,Liquid & Gel,Gel,9819.562,129.20476315789475,64.525,0.849013157894737,153.55513157894737,-80.9707894736842,1.0,0.9605263157894737,76,3,Motor de Ingresos
7501058716767,Area 5,Liquid & Gel,Gel,23626.601,310.8763289473684,156.977,2.0654868421052632,152.00184210526314,-77.95894736842105,1.0,1.0,76,3,Motor de Ingresos
7501058716767,Area 6,Liquid & Gel,Gel,6714.403,88.34740789473685,44.308,0.583,152.73763157894737,-84.66552631578948,1.0,0.8289473684210527,76,3,Motor de Ingresos
7501058716798,Area 1,Liquid & Gel,Gel,2877.536,37.86231578947368,19.445,0.25585526315789475,149.10618421052632,-91.61671052631579,1.0,0.2894736842105263,76,2,Nicho Premium
7501058716798,Area 2,Liquid & Gel,Gel,3565.67,46.91671052631579,23.726,0.3121842105263158,151.50763157894735,-86.91157894736841,1.0,0.039473684210526314,76,2,Nicho Premium
7501058716798,Area 3,Liquid & Gel,Gel,8396.207,110.47640789473685,54.971,0.7233026315789474,153.60434210526316,-82.02434210526316,1.0,0.9210526315789473,76,3,Motor de Ingresos
7501058716798,Area 4,Liquid & Gel,Gel,4967.05,65.35592105263159,32.675,0.42993421052631575,153.38447368421052,-85.21868421052632,1.0,0.15789473684210525,76,2,Nicho Premium
7501058716798,Area 5,Liquid & Gel,Gel,13247.174,174.30492105263158,87.844,1.1558421052631578,152.09776315789475,-80.03289473684211,1.0,0.9736842105263158,76,3,Motor de Ingresos
7501058716798,Area 6,Liquid & Gel,Gel,3275.539,43.09919736842105,21.631,0.2846184210526316,152.51763157894737,-88.66881578947368,1.0,0.06578947368421052,76,2,Nicho Premium
7501058716804,Area 1,Pretreat,Liquido,1089.351,13.6168875,13.859,0.1732375,79.010875,-92.512125,1.0,0.0,80,2,Nicho Premium
7501058716804,Area 2,Pretreat,Liquido,2863.912,35.798899999999996,35.358,0.44197499999999995,81.180375,-84.28,1.0,0.1,80,2,Nicho Premium
7501058716804,Area 3,Pretreat,Liquido,1403.691,17.5461375,17.424,0.2178,80.8155,-91.66775,1.0,0.075,80,2,Nicho Premium
7501058716804,Area 4,Pretreat,Liquido,894.182,11.177275,11.318,0.141475,79.92625000000001,-94.116625,1.0,0.0375,80,2,Nicho Premium
7501058716804,Area 5,Pretreat,Liquido,1852.398,23.154975,23.476,0.29345,80.18724999999999,-91.962375,1.0,0.775,80,2,Nicho Premium
7501058716804,Area 6,Pretreat,Liquido,1263.727,15.796587500000001,15.842,0.198025,80.480125,-91.4035,1.0,0.0,80,2,Nicho Premium
7501058717009,Area 1,Powder,Polvo,0.02,0.02,0.001,0.001,20.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058717009,Area 2,Powder,Polvo,0.06,0.02,0.003,0.001,20.0,-99.90000000000002,0.0,0.0,3,0,Presencia Marginal
7501058717009,Area 3,Powder,Polvo,0.132,0.033,0.007,0.00175,19.5,-99.9,0.0,0.25,4,0,Presencia Marginal
7501058717009,Area 4,Powder,Polvo,0.12,0.02,0.006,0.001,20.0,-99.90000000000002,0.0,0.0,6,0,Presencia Marginal
7501058717009,Area 5,Powder,Polvo,0.08,0.02,0.004,0.001,20.0,-99.9,0.0,0.0,4,0,Presencia Marginal
7501058717009,Area 6,Powder,Polvo,0.02,0.02,0.001,0.001,20.0,-99.9,0.0,0.0,1,0,Presencia Marginal
7501058717016,Area 1,Powder,Polvo,0.06,0.02,0.003,0.001,20.0,-99.90000000000002,0.0,0.0,3,0,Presencia Marginal
7501058717016,Area 2,Powder,Polvo,0.74,0.06166666666666667,0.037,0.0030833333333333333,20.0,-99.89166666666667,0.0,0.25,12,0,Presencia Marginal
7501058717016,Area 3,Powder,Polvo,1.3,0.05652173913043478,0.065,0.002826086956521739,20.0,-99.8913043478261,0.0,0.2608695652173913,23,0,Presencia Marginal
7501058717016,Area 6,Powder,Polvo,0.08,0.02,0.004,0.001,20.0,-99.9,0.0,0.0,4,0,Presencia Marginal
7501058717023,Area 1,Liquid & Gel,Gel,6243.884,78.04855,279.241,3.4905125,22.60525,-86.37375,0.0,1.0,80,1,Volumen Diversificado
7501058717023,Area 2,Liquid & Gel,Gel,11141.742,139.271775,494.089,6.1761125,22.81925,-74.99375,0.0,1.0,80,4,Alta Rotación
7501058717023,Area 3,Liquid & Gel,Gel,15391.071,192.3883875,678.438,8.480475,22.994125,-74.32124999999999,0.0,1.0,80,4,Alta Rotación
7501058717023,Area 4,Liquid & Gel,Gel,12205.66,152.57075,552.784,6.9098,22.404,-74.56875,0.0,1.0,80,4,Alta Rotación
7501058717023,Area 5,Liquid & Gel,Gel,24198.836,302.48545,1048.888,13.111099999999999,23.338375,-75.675,0.0,1.0,80,4,Alta Rotación
7501058717023,Area 6,Liquid & Gel,Gel,10181.664,127.27080000000001,458.609,5.7326125,22.50475,-77.2775,0.0,1.0,80,4,Alta Rotación
7501058717030,Area 1,Liquid & Gel,Gel,4909.512,61.3689,216.754,2.709425,22.806,-86.5925,0.0,1.0,80,1,Volumen Diversificado
7501058717030,Area 2,Liquid & Gel,Gel,8060.681,100.7585125,354.655,4.4331875,22.941,-75.46875,0.0,1.0,80,4,Alta Rotación
7501058717030,Area 3,Liquid & Gel,Gel,11301.771,141.2721375,497.717,6.2214624999999995,22.947625,-74.72,0.0,1.0,80,4,Alta Rotación
7501058717030,Area 4,Liquid & Gel,Gel,8645.886,108.073575,390.256,4.8782,22.49075,-74.47749999999999,0.0,1.0,80,4,Alta Rotación
7501058717030,Area 5,Liquid & Gel,Gel,17485.956,218.57444999999998,755.027,9.4378375,23.396375,-75.70375,0.0,1.0,80,4,Alta Rotación
7501058717030,Area 6,Liquid & Gel,Gel,6917.378,86.467225,308.883,3.8610374999999997,22.651625000000003,-77.185,0.0,1.0,80,1,Volumen Diversificado
7501058751188,Area 1,Liquid & Gel,Liquido,2592.631,32.4078875,27.05,0.338125,95.959125,-87.50912500000001,1.0,0.1125,80,2,Nicho Premium
7501058751188,Area 2,Liquid & Gel,Liquido,4204.197,52.552462500000004,43.367,0.5420874999999999,97.20962499999999,-78.92825,1.0,0.0375,80,2,Nicho Premium
7501058751188,Area 3,Liquid & Gel,Liquido,3613.454,45.168175000000005,37.341,0.4667625,97.40825,-86.316625,1.0,0.625,80,2,Nicho Premium
